headword,CEFR,lemma,pos,spanish
accuracy,B1,accuracy,NOUN,exactitud
accurate,B1,accurate,ADJ,preciso
accurately,B1,accurately,ADV,exactamente
accusation,B2,accusation,NOUN,acusación
accuse,B1,accuse,VERB,acusar
accustom,B1,accustom,PROPN,acostumbrar
ache,B1,ache,PROPN,dolor
ache,B2,ache,PROPN,dolor
achievable,B2,achievable,ADJ,realizable
achieve,A2,achieve,VERB,lograr
achievement,B1,achievement,NOUN,logro
acid,B2,acid,NOUN,ácido
acknowledge,B1,acknowledge,VERB,reconocer
acknowledgment/acknowledgement,B1,acknowledgment,NOUN,reconocimiento / reconocimiento
acquaintance,B1,acquaintance,NOUN,conocido
acquire,B1,acquire,VERB,adquirir
acquisition,B2,acquisition,NOUN,adquisición
across,A2,across,ADP,al otro lado de
across,A2,across,ADP,al otro lado de
act,A2,act,NOUN,acto
act,B1,act,NOUN,acto
action,A1,action,NOUN,acción
active,B1,active,ADJ,activo
actively,B2,actively,ADV,activamente
activity,A1,activity,NOUN,actividad
actor,A1,actor,NOUN,actor
actress,B1,actress,NOUN,actriz
actual,B2,actual,ADJ,actual
actually,A2,actually,ADV,de hecho
acute,B2,acute,PROPN,agudo
ad,B1,ad,NOUN,anuncio
adapt,B1,adapt,VERB,adaptar
adaptable,B2,adaptable,ADJ,adaptable
add,A1,add,VERB,agregar
addict,B2,addict,VERB,adicto
addicted,B2,addict,VERB,adicto
addiction,B2,addiction,NOUN,adicción
addition,A2,addition,NOUN,suma
additional,A2,additional,ADJ,adicional
additionally,B2,additionally,ADV,además
address,A1,address,NOUN,DIRECCIÓN
address,B1,address,NOUN,DIRECCIÓN
addressee,B1,addressee,VERB,destinatario
adequate,B2,adequate,ADJ,adecuado
adequately,B2,adequately,ADV,adecuadamente
adjective,A2,adjective,ADJ,adjetivo
adjust,A2,adjust,VERB,ajustar
adjustment,B2,adjustment,NOUN,ajuste
administration,B1,administration,NOUN,administración
administrative,B2,administrative,ADJ,administrativo
admirable,B2,admirable,ADJ,admirable
admiration,B1,admiration,NOUN,admiración
admire,A2,admire,PROPN,admirar
admiringly,B2,admiringly,ADV,admirativamente
admission,B1,admission,NOUN,admisión
admit,A2,admit,VERB,admitir
admittedly,B2,admittedly,ADV,cierto es que
adopt,B1,adopt,VERB,adoptar
adopted,B2,adopt,VERB,adoptado
adoption,B2,adoption,NOUN,adopción
adorable,B1,adorable,ADJ,adorable
adore,B2,adore,VERB,adorar
adorn,B2,adorn,VERB,adornar
adult,A2,adult,NOUN,adulto
adult,A2,adult,NOUN,adulto
advance,B2,advance,VERB,avance
advance,B1,advance,VERB,avance
advanced,A2,advance,VERB,avanzado
advancement,B2,advancement,NOUN,adelanto
advantage,A2,advantage,NOUN,ventaja
advent,B2,advent,NOUN,adviento
adventure,A2,adventure,NOUN,aventura
adventurous,B2,adventurous,ADJ,aventurero
adverb,B1,adverb,ADJ,adverbio
adverbial,B1,adverbial,ADJ,adverbial
adverse,B2,adverse,NOUN,adverso
adversely,B2,adversely,ADV,negativamente
adversity,B2,adversity,NOUN,adversidad
advert,B1,advert,NOUN,anuncio
advertise,B1,advertise,VERB,anunciar
advertisement,A2,advertisement,NOUN,anuncio
advertising,A2,advertise,VERB,publicidad
advice,A2,advice,NOUN,consejo
advise,A2,advise,VERB,aconsejar
adviser/advisor,B1,adviser,NOUN,asesor/asesor
aerobics,B1,aerobics,NOUN,aerobic
affair,A2,affair,PROPN,amorío
affect,B1,affect,VERB,afectar
affection,B1,affection,NOUN,afecto
affectionate,B2,affectionate,VERB,cariñoso
affectionately,B2,affectionately,ADV,afectuosamente
afford,B1,afford,VERB,poder pagar
affordable,B2,affordable,ADJ,asequible
afraid,A1,afraid,ADJ,asustado
after,A2,after,ADP,después
after,B1,after,ADP,después
after,A1,after,ADP,después
afternoon,A1,afternoon,NOUN,tarde
afterward,B1,afterward,ADV,después
afterwards,B1,afterwards,ADV,después
again,A1,again,ADV,de nuevo
against,A2,against,ADP,contra
age,A1,age,NOUN,edad
aged,A2,aged,ADJ,viejo
ageless,B2,ageless,ADV,eterno
agency,A2,agency,NOUN,agencia
agenda,B1,agenda,NOUN,orden del día
agent,A2,agent,NOUN,agente
aggressive,B1,aggressive,ADJ,agresivo
aggressively,B2,aggressively,ADV,agresivamente
ago,A1,ago,ADV,atrás
agonize/agonise,B2,agonize,VERB,agonizar / agonizar
agony,B2,agony,NOUN,agonía
agree,A1,agree,VERB,aceptar
agreement,B1,agreement,NOUN,acuerdo
agricultural,B1,agricultural,ADJ,agrícola
agriculture,B1,agriculture,NOUN,agricultura
ahead,A2,ahead,ADV,adelante
aid,B1,aid,NOUN,ayuda
aid,B1,aid,NOUN,ayuda
aim,B1,aim,VERB,apuntar
aim,B2,aim,VERB,apuntar
air,A2,air,NOUN,aire
air conditioning,B1,air,NOUN,aire acondicionado
air force,B1,air,NOUN,fuerzas aéreas
aircraft,B2,aircraft,NOUN,aeronave
aircrew,B2,aircrew,PROPN,tripulación
airline,B1,airline,NOUN,aerolínea
airplane/aeroplane,A1,airplane,NOUN,avión/avión
airport,A1,airport,PROPN,aeropuerto
aisle,A2,aisle,PROPN,pasillo
alarm,A2,alarm,NOUN,alarma
alarm,B1,alarm,NOUN,alarma
alarm clock,A2,alarm,PROPN,despertador
album,A1,album,NOUN,álbum
alcohol,B1,alcohol,NOUN,alcohol
alcoholic,B1,alcoholic,ADJ,alcohólico
alcoholic,B2,alcoholic,ADJ,alcohólico
alcoholism,B2,alcoholism,PROPN,alcoholismo
alert,B2,alert,VERB,alerta
alike,B1,alike,ADV,similar
alike,B1,alike,ADV,similar
alive,A2,alive,ADJ,vivo
all,A2,all,PRON,todo
all,A1,all,PRON,todo
all,A1,all,PRON,todo
all right,A1,all,ADV,está bien
all right,A1,all,ADV,está bien
allegation,B2,allegation,NOUN,alegación
allergic,B1,allergic,ADJ,alérgico
alliance,B2,alliance,PROPN,alianza
allow,A2,allow,VERB,permitir
allowance,B1,allowance,NOUN,prestación
ally,B2,ally,NOUN,aliado
almost,A1,almost,ADV,casi
alone,A2,alone,ADV,solo
alone,A1,alone,ADV,solo
along,A1,along,ADP,a lo largo de
along,A2,along,ADP,a lo largo de
alongside,B2,alongside,ADV,junto a
aloud,B1,aloud,ADV,en voz alta
alphabet,B1,alphabet,PROPN,alfabeto
alphabetical,B2,alphabetical,ADJ,alfabético
already,A1,already,ADV,ya
alright,A2,alright,ADV,está bien
alright,A2,alright,ADV,está bien
also,A1,also,ADV,también
altar,B2,altar,PROPN,altar
alter,B2,alter,VERB,alterar
alternate,B2,alternate,VERB,alternar
alternative,B1,alternative,NOUN,alternativa
alternative,B1,alternative,NOUN,alternativa
alternatively,B2,alternatively,ADV,alternativamente
although,A2,although,SCONJ,a pesar de
altitude,B2,altitude,NOUN,altitud
altogether,B1,altogether,ADV,en total
aluminum/aluminium,B2,aluminum,NOUN,aluminio/aluminio
always,A1,always,ADV,siempre
am,A1,be,AUX,soy
amaze,B2,amaze,VERB,asombro
amazed,B1,amazed,ADJ,asombrado
amazement,B2,amazement,NOUN,asombro
amazing,B1,amazing,ADJ,asombroso
amazingly,B2,amazingly,ADV,espantosamente
ambassador,B2,ambassador,PROPN,embajador
ambiguity,B2,ambiguity,NOUN,ambigüedad
ambiguous,B2,ambiguous,ADJ,ambiguo
ambition,A2,ambition,NOUN,ambición
ambitious,B1,ambitious,ADJ,ambicioso
ambulance,B1,ambulance,NOUN,ambulancia
ammonia,B2,ammonia,NOUN,amoníaco
among,A2,among,ADP,entre
amongst,B2,amongst,ADP,entre
amount,B1,amount,NOUN,cantidad
ample,B2,ample,ADJ,amplio
amplifier,B2,amplifier,PROPN,amplificador
amplify,B2,amplify,VERB,amplificar
amuse,B2,amuse,VERB,divertir
amused,A2,amuse,VERB,divertido
amusement,A2,amusement,NOUN,diversión
amusing,B1,amusing,ADJ,divertido
an,A1,an,PRON,un
analogy,B2,analogy,NOUN,analogía
analysis,B1,analysis,NOUN,análisis
analyst,B2,analyst,NOUN,analista
analyze/analyse,B1,analyze,PROPN,analizar/analizar
ancestor,A2,ancestor,PROPN,antepasado
anchor,B2,anchor,NOUN,ancla
anchorage,B2,anchorage,NOUN,anclaje
anchorman,B2,anchorman,PROPN,comunicador coordinador
anchorperson,B2,anchorperson,PROPN,presentador
ancient,A2,ancient,ADJ,antiguo
and,A1,and,CCONJ,y
angel,A2,angel,NOUN,ángel
anger,B1,anger,NOUN,enojo
angle,B1,angle,PROPN,ángulo
angrily,A2,angrily,ADV,airadamente
angry,A1,angry,ADJ,enojado
anguish,B2,anguish,PROPN,angustia
animal,A1,animal,NOUN,animal
animate,B2,animate,ADJ,animar
animated,B1,animate,VERB,animado
animation,B1,animation,NOUN,animación
ankle,A2,ankle,NOUN,tobillo
anniversary,A2,anniversary,NOUN,aniversario
announce,B1,announce,VERB,anunciar
announcement,B1,announcement,NOUN,anuncio
annoy,A2,annoy,VERB,enojarse
annoyance,B1,annoyance,NOUN,molestia
annoyed,B1,annoyed,ADJ,enojado
annoying,A2,annoying,ADJ,irritante
annual,B1,annual,ADJ,anual
annually,B1,annually,ADV,anualmente
anonymous,B2,anonymous,PROPN,anónimo
another,A1,another,PRON,otro
another,A2,another,PRON,otro
answer,A1,answer,VERB,respuesta
answer,A1,answer,VERB,respuesta
ant,B1,ant,ADJ,hormiga
anti,B1,anti,ADJ,anti
antiaircraft,B2,antiaircraft,NOUN,antiaéreo
antibacterial,B2,antibacterial,NOUN,antibacteriano
anticancer,B2,anticancer,NOUN,anticancerígeno
anticipate,B2,anticipate,VERB,anticipar
anticipation,B2,anticipation,NOUN,anticipación
antipollution,B2,antipollution,NOUN,anticontaminación
antique,B2,antique,NOUN,antigüedad
antique,B1,antique,NOUN,antigüedad
antistatic,B2,antistatic,PROPN,antiestático
antivirus,B2,antivirus,PROPN,antivirus
antonym,B1,antonym,ADJ,antónimo
anxiety,B1,anxiety,NOUN,ansiedad
anxious,A2,anxious,ADJ,ansioso
anxiously,B1,anxiously,ADV,ansiosamente
any,A1,any,PRON,cualquier
any,A1,any,PRON,cualquier
anybody,A1,anybody,PRON,cualquiera
anyhow,B1,anyhow,ADV,de todos modos
anymore,A2,anymore,ADV,ya no
anyone,A1,anyone,PRON,alguien
anything,A1,anything,PRON,cualquier cosa
anyway,A2,anyway,ADV,de todos modos
anywhere,A2,anywhere,ADV,en cualquier lugar
apart,A2,apart,ADV,aparte
apartment,A2,apartment,NOUN,departamento
ape,B1,ape,NOUN,mono
apologize/apologise,A2,apologize,VERB,disculparse/disculparse
apology,B1,apology,NOUN,disculpa
apostrophe,B2,apostrophe,VERB,apóstrofe
apparent,B1,apparent,ADJ,aparente
apparently,A2,apparently,ADV,aparentemente
appeal,B1,appeal,NOUN,apelar
appeal,B2,appeal,NOUN,apelar
appear,A2,appear,VERB,aparecer
appearance,A2,appearance,NOUN,apariencia
appetite,B1,appetite,VERB,apetito
applaud,B1,applaud,VERB,aplaudir
applause,B1,applause,NOUN,aplausos
apple,A1,apple,NOUN,manzana
applicant,B2,applicant,NOUN,solicitante
application,B1,application,NOUN,solicitud
apply,A2,apply,VERB,aplicar
appoint,B1,appoint,VERB,nombrar
appointment,A2,appointment,NOUN,cita
appreciate,A2,appreciate,VERB,agradecer
appreciation,B1,appreciation,NOUN,apreciación
appreciative,B2,appreciative,VERB,agradecido
approach,B1,approach,NOUN,acercarse
approach,B2,approach,NOUN,acercarse
appropriate,A2,appropriate,ADJ,adecuado
appropriately,B2,appropriately,ADV,adecuadamente
approval,B1,approval,NOUN,aprobación
approve,B1,approve,VERB,aprobar
approximate,B2,approximate,ADJ,aproximado
approximately,B1,approximately,ADV,aproximadamente
April,A1,April,PROPN,Abril
apron,A1,apron,PROPN,delantal
arch,B2,arch,ADJ,arco
archaeologist/archeologist,B2,archaeologist,PROPN,arqueólogo/arqueólogo
architect,B1,architect,NOUN,arquitecto
architecture,A2,architecture,NOUN,arquitectura
arctic,B2,arctic,PROPN,ártico
are,A1,be,AUX,son
area,A2,area,NOUN,área
arena,B2,arena,NOUN,arena
argue,A2,argue,VERB,argumentar
argument,A2,argument,NOUN,argumento
arise,B1,arise,VERB,surgir
aristocracy,B2,aristocracy,NOUN,aristocracia
arithmetic,B1,arithmetic,ADJ,aritmética
arm,A1,arm,NOUN,brazo
arm,B1,arm,NOUN,brazo
armchair,A2,armchair,PROPN,sillón
armed,A2,arm,VERB,armado
armful,B2,armful,ADJ,brazada
army,B1,army,NOUN,ejército
around,A2,around,ADV,alrededor
around,A1,around,ADV,alrededor
arouse,B2,arouse,NOUN,despertar
arrange,B1,arrange,NOUN,arreglar
arrangement,B1,arrangement,NOUN,acuerdo
arrest,B1,arrest,VERB,detención
arrest,B1,arrest,VERB,detención
arrival,B1,arrival,NOUN,llegada
arrive,A1,arrive,VERB,llegar
arrogant,B2,arrogant,ADJ,arrogante
arrow,B1,arrow,NOUN,flecha
art,A1,art,NOUN,arte
artery,B2,artery,NOUN,artería
article,A1,article,NOUN,artículo
articulate,B2,articulate,VERB,articular
artificial,A2,artificial,PROPN,artificial
artificially,B2,artificially,ADV,artificialmente
artist,B1,artist,NOUN,artista
artistic,B1,artistic,ADJ,artístico
artistry,B2,artistry,NOUN,arte
as,A2,as,ADP,como
as,A1,as,ADP,como
ash,B2,ash,NOUN,ceniza
ashamed,B1,ashame,VERB,avergonzado
aside,B1,aside,ADV,aparte
ask,A1,ask,VERB,preguntar
asleep,A2,asleep,ADJ,dormido
aspect,B1,aspect,NOUN,aspecto
aspiration,B2,aspiration,NOUN,aspiración
aspire,B2,aspire,NOUN,aspirar
aspirin,B1,aspirin,NOUN,aspirina
assault,B2,assault,NOUN,agresión
assemble,B2,assemble,VERB,armar
assembly,B2,assembly,PROPN,asamblea
assert,B2,assert,VERB,afirmar
assess,B2,assess,VERB,evaluar
assessment,B2,assessment,NOUN,evaluación
assign,B1,assign,VERB,asignar
assignment,B1,assignment,NOUN,asignación
assist,B1,assist,VERB,asistir
assistance,B1,assistance,NOUN,asistencia
assistant,A2,assistant,NOUN,asistente
assistant,B1,assistant,NOUN,asistente
associate,B1,associate,NOUN,asociado
association,A2,association,PROPN,asociación
assume,B1,assume,VERB,asumir
assumption,B2,assumption,NOUN,suposición
assurance,B2,assurance,NOUN,garantía
assure,B2,assure,NOUN,asegurar
astonish,B2,astonish,VERB,asombrar
astonished,B2,astonish,VERB,asombrado
astonishing,B2,astonishing,VERB,asombroso
astonishment,B2,astonishment,VERB,asombro
astronaut,A2,astronaut,NOUN,astronauta
astronomer,B1,astronomer,NOUN,astrónomo
astronomy,B2,astronomy,NOUN,astronomía
at,A1,at,ADP,en
athlete,A2,athlete,NOUN,atleta
athletic,B1,athletic,ADJ,atlético
athletics,B2,athletic,NOUN,atletismo
Atlantic,B1,Atlantic,PROPN,atlántico
atmosphere,B1,atmosphere,NOUN,atmósfera
atom,A2,atom,NOUN,átomo
atomic,B1,atomic,PROPN,atómico
attach,B1,attach,VERB,adjuntar
attached,B2,attach,VERB,adjunto
attachment,B1,attachment,NOUN,adjunto
attack,A2,attack,NOUN,ataque
attack,A2,attack,NOUN,ataque
attain,B1,attain,NOUN,alcanzar
attainable,B2,attainable,ADJ,alcanzable
attainment,B2,attainment,PROPN,logro
attempt,A2,attempt,NOUN,intentar
attempt,B1,attempt,NOUN,intentar
attend,B1,attend,VERB,asistir
attendance,B2,attendance,NOUN,asistencia
attention,A2,attention,NOUN,atención
attentive,B2,attentive,ADJ,atento
attentively,B2,attentively,ADV,atentamente
attitude,A2,attitude,NOUN,actitud
attract,B1,attract,VERB,atraer
attraction,B1,attraction,NOUN,atracción
attractive,A2,attractive,ADJ,atractivo
attractiveness,B2,attractiveness,NOUN,atractivo
attribute,B2,attribute,NOUN,atributo
attribute,B2,attribute,NOUN,atributo
atypical,B2,atypical,ADJ,atípico
aubergine,B2,aubergine,PROPN,berenjena
audience,A2,audience,NOUN,audiencia
audio,A2,audio,ADJ,audio
audit,B2,audit,NOUN,auditoría
audition,B2,audition,NOUN,audición
August,A1,August,PROPN,Agosto
aunt,A1,aunt,NOUN,tía
author,A2,author,NOUN,autor
authoritative,B2,authoritative,ADJ,autorizado
authority,B1,authority,NOUN,autoridad
authorize/authorise,B2,authorize,NOUN,autorizar/autorizar
automatic,A2,automatic,ADJ,automático
automatically,A2,automatically,ADV,automáticamente
autumn,A1,autumn,PROPN,otoño
auxiliary,B1,auxiliary,PROPN,auxiliar
availability,B2,availability,NOUN,disponibilidad
available,B1,available,ADJ,disponible
avenue,B1,avenue,NOUN,avenida
average,A2,average,ADJ,promedio
average,A2,average,ADJ,promedio
avoid,A2,avoid,VERB,evitar
await,B2,await,VERB,esperar
awake,A1,awake,ADJ,despierto
award,A2,award,NOUN,otorgar
award,B1,award,NOUN,otorgar
aware,B1,aware,ADJ,consciente
awareness,B1,awareness,NOUN,conciencia
away,A1,away,ADV,lejos
awe,B2,awe,PROPN,temor
awesome,B1,awesome,ADJ,impresionante
awful,A2,awful,ADJ,horrible
awkward,B1,awkward,ADJ,extraño
ax/axe,B2,ax,PROPN,hacha/hacha
axis,B2,axis,NOUN,eje
baby,A1,baby,NOUN,bebé
babysit,B1,babysit,NOUN,cuidar a los niños
babysitter,B1,babysitter,NOUN,niñera
back,A2,back,ADV,atrás
back,A1,back,ADV,atrás
back,A1,back,ADV,atrás
back,B1,back,ADV,atrás
backache,B1,backache,NOUN,dolor de espalda
background,A2,background,NOUN,fondo
backpack,B1,backpack,PROPN,mochila
backpacker,B1,backpacker,NOUN,mochilero
backpacking,B1,backpack,VERB,mochilero
backup,B2,backup,PROPN,respaldo
backward/backwards,B2,backward,ADV,hacia atrás/hacia atrás
backyard,B2,backyard,NOUN,patio interior
bacon,B1,bacon,PROPN,tocino
bad,A1,bad,ADJ,malo
badge,B2,badge,PROPN,insignia
badly,A2,badly,ADV,gravemente
badminton,A2,badminton,PROPN,bádminton
bad-tempered,B2,bad,ADV,de mal humor
bag,A1,bag,NOUN,bolsa
baggage,B1,baggage,NOUN,equipaje
bake,A2,bake,VERB,hornear
baker,B1,baker,PROPN,panadero
bakery,B1,bakery,PROPN,panadería
balance,B1,balance,NOUN,balance
balance,B2,balance,NOUN,balance
balanced,B2,balanced,ADJ,equilibrado
balcony,A2,balcony,PROPN,balcón
bald,B1,bald,ADJ,calvo
balky,B2,balky,NOUN,reacio
ball,A1,ball,NOUN,pelota
ballad,B2,ballad,ADJ,balada
ballet,B2,ballet,VERB,ballet
balloon,A2,balloon,NOUN,globo
ballot,B2,ballot,NOUN,votación
ban,B2,ban,NOUN,prohibición
ban,B2,ban,NOUN,prohibición
banana,A1,banana,PROPN,banana
band,A1,band,NOUN,banda
bandage,B1,bandage,NOUN,vendaje
bang,B1,bang,PROPN,estallido
bang,B1,bang,PROPN,estallido
bank,A1,bank,PROPN,banco
bank,A2,bank,PROPN,banco
bank account,B1,bank,PROPN,cuenta bancaria
banker,B2,banker,NOUN,banquero
banking,A2,banking,NOUN,bancario
bankrupt,B2,bankrupt,ADJ,arruinado
bankruptcy,B2,bankruptcy,NOUN,quiebra
bar,A1,bar,NOUN,bar
bar,B1,bar,NOUN,bar
barbecue,A2,barbecue,NOUN,parilla
barbecue,B1,barbecue,NOUN,parilla
barber,A2,barber,PROPN,barbero
barbershop,B2,barbershop,PROPN,peluquería
bare,B1,bare,ADJ,desnudo
bare,B2,bare,ADJ,desnudo
barely,B1,barely,ADV,apenas
bargain,A2,bargain,NOUN,negociar
bargain,B2,bargain,NOUN,negociar
bark,B1,bark,PROPN,ladrar
bark,B2,bark,PROPN,ladrar
barley,B2,barley,NOUN,cebada
barman,B1,barman,PROPN,barman
barn,B2,barn,VERB,granero
barometer,B2,barometer,NOUN,barómetro
barrel,B1,barrel,NOUN,barril
barren,B2,barren,VERB,estéril
barrier,B2,barrier,NOUN,barrera
bartender,B2,bartender,NOUN,barman
base,A2,base,NOUN,base
base,B1,base,NOUN,base
baseball,A1,baseball,NOUN,béisbol
basement,B1,basement,NOUN,sótano
basic,A2,basic,ADJ,básico
basically,A2,basically,ADV,básicamente
basin,B1,basin,NOUN,cuenca
basis,B1,basis,NOUN,base
basket,A2,basket,NOUN,cesta
basketball,A1,basketball,NOUN,baloncesto
bat,A1,bat,NOUN,murciélago
bat,B1,bat,NOUN,murciélago
batch,A2,batch,VERB,lote
bath,A1,bath,NOUN,baño
bathe,B1,bathe,VERB,bañarse
bathhouse,B2,bathhouse,NOUN,casa de baños
bathroom,A1,bathroom,NOUN,baño
battery,A2,battery,NOUN,batería
battle,B1,battle,NOUN,batalla
battlefield,B2,battlefield,NOUN,campo de batalla
bay,A2,bay,PROPN,bahía
be,A1,be,AUX,ser
beach,A1,beach,PROPN,playa
beagle,B2,beagle,PROPN,beagle
beak,B2,beak,NOUN,pico
beam,B2,beam,NOUN,haz
bean,A1,bean,NOUN,frijol
bear,A1,bear,NOUN,oso
bear,A2,bear,NOUN,oso
beard,B1,beard,PROPN,barba
bearing,B2,bear,VERB,cojinete
beast,B1,beast,NOUN,bestia
beat,B2,beat,VERB,derrotar
beat,B1,beat,VERB,derrotar
beautiful,A1,beautiful,ADJ,hermoso
beautifully,B1,beautifully,ADV,hermosamente
beautify,B2,beautify,VERB,embellecer
beauty,A2,beauty,NOUN,belleza
beaver,B1,beaver,PROPN,castor
because,A1,because,SCONJ,porque
because of,B1,because,SCONJ,debido a
become,A1,become,VERB,convertirse
bed,A1,bed,NOUN,cama
bedroom,A1,bedroom,NOUN,dormitorio
bedside,B1,bedside,VERB,cabecera
bee,A1,bee,PROPN,abeja
beef,A1,beef,NOUN,carne de res
been,A2,be,AUX,estado
beer,A2,beer,NOUN,cerveza
before,A1,before,ADP,antes
before,A2,before,ADP,antes
before,A1,before,ADP,antes
beg,A2,beg,PROPN,mendigar
begin,A1,begin,VERB,comenzar
beginner,A2,beginner,NOUN,principiante
beginning,A2,begin,VERB,comienzo
behalf,B1,behalf,NOUN,beneficio
behave,B1,behave,VERB,comportarse
behavior/behaviour,A2,behavior,NOUN,comportamiento/comportamiento
behind,A1,behind,ADV,detrás
behind,A1,behind,ADV,detrás
being,A2,be,AUX,ser
belief,B1,belief,NOUN,creencia
believe,A1,believe,VERB,creer
bell,A1,bell,NOUN,campana
bellow,B2,bellow,VERB,bramido
belly,A2,belly,NOUN,barriga
belong,A2,belong,VERB,pertenecer
belongings,B2,belonging,NOUN,pertenencias
beloved,B1,belove,VERB,amado
below,A1,below,ADP,abajo
below,A1,below,ADP,abajo
belt,A2,belt,PROPN,cinturón
bench,A2,bench,NOUN,banco
bend,B2,bend,VERB,doblar
bend,A2,bend,VERB,doblar
beneath,B1,beneath,ADP,bajo
beneficial,B2,beneficial,ADJ,beneficioso
benefit,B1,benefit,NOUN,beneficio
benefit,B2,benefit,NOUN,beneficio
benevolence,B2,benevolence,NOUN,benevolencia
benevolent,B2,benevolent,ADJ,benévolo
bent,B1,bent,ADJ,doblado
berry,B2,berry,VERB,baya
beside,A1,beside,ADV,al lado de
besides,A2,besides,ADV,además
besides,B1,besides,ADV,además
best,A1,well,ADV,mejor
best,A1,well,ADV,mejor
bestow,B2,bestow,VERB,otorgar
bestseller,B2,bestseller,NOUN,Mejor vendido
bet,B1,bet,PROPN,apuesta
betray,B2,betray,NOUN,traicionar
better,A1,well,ADV,mejor
better,A2,well,ADV,mejor
between,A1,between,ADP,entre
bewilder,B2,bewilder,NOUN,confundir
bewilderment,B2,bewilderment,NOUN,desconcierto
beyond,A2,beyond,ADP,más allá de
bicycle,A1,bicycle,NOUN,bicicleta
bid,B2,bid,VERB,licitación
bidding,B2,bidding,NOUN,ofertas
big,A1,big,ADJ,grande
bike,A1,bike,NOUN,bicicleta
bikini,B2,bikini,PROPN,bikini
bilingual,B1,bilingual,PROPN,bilingüe
bill,A2,bill,NOUN,factura
bill,B1,bill,NOUN,factura
billion,B2,billion,NUM,mil millones
bin,B1,bin,PROPN,papelera
bind,B2,bind,VERB,unir
bio,B2,bio,PROPN,biografía
biochemistry,B1,biochemistry,NOUN,bioquímica
biography,B1,biography,NOUN,biografía
biological,B2,biological,PROPN,biológico
biology,B1,biology,NOUN,biología
biotechnology,B2,biotechnology,NOUN,biotecnología
bird,A1,bird,NOUN,pájaro
birdcage,B2,birdcage,NOUN,jaula
birth,A1,birth,NOUN,nacimiento
birthday,A1,birthday,NOUN,cumpleaños
birthplace,B2,birthplace,NOUN,lugar de nacimiento
biscuit,A1,biscuit,NOUN,galleta
bishop,B1,bishop,PROPN,obispo
bit,A2,bit,NOUN,poco
bite,A2,bite,VERB,morder
bite,B1,bite,VERB,morder
bitter,B1,bitter,ADJ,amargo
bitterly,B2,bitterly,ADV,amargamente
bizarre,B2,bizarre,ADJ,extraño
black,A1,black,ADJ,negro
black,A1,black,ADJ,negro
blackboard,A2,blackboard,PROPN,pizarra
blade,B2,blade,NOUN,cuchilla
blame,B1,blame,VERB,culpa
blame,A2,blame,VERB,culpa
blank,A1,blank,ADJ,blanco
blanket,A2,blanket,NOUN,frazada
blast,B2,blast,NOUN,explosión
blast,B2,blast,NOUN,explosión
blaze,B2,blaze,VERB,resplandor
blaze,B2,blaze,VERB,resplandor
bleed,B1,bleed,NOUN,sangrar
blend,B2,blend,NOUN,mezcla
blend,B1,blend,NOUN,mezcla
bless,B1,bless,VERB,bendecir
blessing,B1,blessing,NOUN,bendición
blind,B1,blind,ADJ,ciego
blindly,B2,blindly,ADV,a ciegas
blindness,B2,blindness,NOUN,ceguera
blink,B2,blink,VERB,parpadear
block,A1,block,NOUN,bloquear
block,B1,block,NOUN,bloquear
